dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label,pca_variance
mnist,pca,knn,1,0.25983333333333336,0.7401666666666666,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,2,0.3175,0.6825,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,5,0.724,0.276,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,10,0.8893333333333333,0.11066666666666669,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,15,0.9186666666666666,0.08133333333333337,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,20,0.9288333333333333,0.07116666666666671,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,30,0.938,0.062000000000000055,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,40,0.941,0.05900000000000005,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,50,0.9415,0.058499999999999996,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,75,0.9425,0.057499999999999996,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,100,0.9398333333333333,0.0601666666666667,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,150,0.9356666666666666,0.06433333333333335,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,200,0.9313333333333333,0.06866666666666665,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,300,0.925,0.07499999999999996,,14000,6000,0,0.3,PCA,KNN-5,
mnist,lda,knn,1,0.33516666666666667,0.6648333333333334,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,2,0.522,0.478,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,3,0.7075,0.2925,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,4,0.7945,0.20550000000000002,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,5,0.8136666666666666,0.18633333333333335,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,6,0.8385,0.16149999999999998,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,7,0.8736666666666667,0.1263333333333333,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,8,0.8856666666666667,0.11433333333333329,,14000,6000,0,0.3,LDA,KNN-5,
mnist,lda,knn,9,0.8881666666666667,0.11183333333333334,,14000,6000,0,0.3,LDA,KNN-5,
mnist,pca90_lda,knn,1,0.32133333333333336,0.6786666666666666,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,2,0.49666666666666665,0.5033333333333334,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,3,0.723,0.277,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,4,0.8075,0.1925,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,5,0.8275,0.1725,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,6,0.8553333333333333,0.14466666666666672,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,7,0.8796666666666667,0.12033333333333329,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,8,0.9023333333333333,0.09766666666666668,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca90_lda,knn,9,0.9068333333333334,0.09316666666666662,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-5,0.9
mnist,pca95_lda,knn,1,0.3318333333333333,0.6681666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,2,0.5128333333333334,0.48716666666666664,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,3,0.7175,0.2825,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,4,0.8025,0.1975,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,5,0.8248333333333333,0.1751666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,6,0.8508333333333333,0.14916666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,7,0.8791666666666667,0.12083333333333335,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,8,0.8973333333333333,0.10266666666666668,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca95_lda,knn,9,0.9036666666666666,0.09633333333333338,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-5,0.95
mnist,pca99_lda,knn,1,0.3323333333333333,0.6676666666666666,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,2,0.5145,0.48550000000000004,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,3,0.7123333333333334,0.2876666666666666,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,4,0.7991666666666667,0.2008333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,5,0.8198333333333333,0.1801666666666667,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,6,0.8433333333333334,0.15666666666666662,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
